SiteID,LayerID,Country,Period,Era,A,B,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,H,I,Latitude,Longitude
1017128,3043842,"Korea, Republic of",UP,UP,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.1654,127.9907
1017139,3043853,"Korea, Republic of",UP,UP,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3333,128.5
1017139,3043864,"Korea, Republic of",MP,MP,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3333,128.5
1017139,3043875,"Korea, Republic of",MP,MP,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3333,128.5
1017151,3043897,"Korea, Republic of",UP,UP,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35.1804,129.1727
1017162,3043901,"Korea, Republic of",UP,UP,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,35.1779,129.1671
1017209,3043956,"Korea, Republic of",UP,UP,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,34.9133,127.2725
1017221,3044005,"Korea, Republic of",UP,UP,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.4017,127.8267
1017221,3044016,"Korea, Republic of",UP,UP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4017,127.8267
1017243,3044038,"Korea, Republic of",UP,UP,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35.8167,128.5444
1017254,3044049,"Korea, Republic of",UP,UP,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,36.8097,128.3361
